season,season_title,first_name,last_name,age,birthdate,gender,race,orientation,profession,hometown,homestate,finish
1,Survivor: Borneo,Sonja,Christopher,63,1937-01-28,F,White,LGBT,Musician/Retired Teacher,Walnut Creek,California,16
1,Survivor: Borneo,B.B.,Andersen,64,1936-01-18,M,White,Straight,Real Estate Developer,Mission Hills,Kansas,15
1,Survivor: Borneo,Stacey,Stillman,27,1972-08-11,F,White,Straight,Attorney,San Francisco,California,14
1,Survivor: Borneo,Ramona,Gray,29,1971-01-20,F,African American,Straight,Biochemist,Edison,New Jersey,13
1,Survivor: Borneo,Dirk,Been,23,1976-06-15,M,White,Straight,Dairy Farmer,Spring Green,Wisconsin,12
1,Survivor: Borneo,Joel,Klug,27,1972-04-13,M,White,Straight,Health Club Consultant,Sherwood,Arkansas,11
1,Survivor: Borneo,Gretchen,Cordy,38,1962-02-07,F,White,Straight,Teacher,Clarksville,Tennessee,10
1,Survivor: Borneo,Greg,Buis,24,1975-12-31,M,White,Straight,Ivy League Graduate,Gold Hill,Colorado,9
1,Survivor: Borneo,Jenna,Lewis,22,1977-07-16,F,White,Straight,Student,Franklin,New Hampshire,8
1,Survivor: Borneo,Gervase,Peterson,30,1969-11-02,M,African American,Straight,YMCA Basketball Coach,Willingboro,New Jersey,7
1,Survivor: Borneo,Colleen,Haskell,23,1976-12-06,F,White,Straight,Student,Miami Beach,Florida,6
1,Survivor: Borneo,Sean,Kenniff,30,1969-11-27,M,White,Straight,Neurologist,Carle Place,New York,5
1,Survivor: Borneo,Susan,Hawk,38,1961-08-17,F,White,Straight,Truck Driver,Palmyra,Wisconsin,4
1,Survivor: Borneo,Rudy,Boesch,72,1928-01-20,M,White,Straight,Retired NAVY Seal,Virginia Beach,Virginia,3
1,Survivor: Borneo,Kelly,Wiglesworth,22,1977-06-24,F,White,Straight,River Rafting Guide,Kernville,California,2
1,Survivor: Borneo,Richard,Hatch,39,1961-04-08,M,White,LGBT,Corporate Trainer,Newport,Rhode Island,1
2,Survivor: The Australian Outback,Debb,Eaton,45,1955-06-11,F,White,Straight,Corrections Officer,Milan,New Hampshire,16
2,Survivor: The Australian Outback,Kel,Gleason,32,1968-01-05,M,Latin American,Straight,Army Intelligence Officer,Fort Hood,Texas,15
2,Survivor: The Australian Outback,Maralyn,Hershey,51,1949-01-24,F,White,Straight,Retired Police Officer,Wakefield,Virginia,14
2,Survivor: The Australian Outback,Mitchell,Olson,23,1977-03-17,M,White,LGBT,Singer/Songwriter,Union City,New Jersey,13
2,Survivor: The Australian Outback,Kimmi,Kappenberg,28,1972-11-11,F,White,Straight,Bartender,Ronkonkoma,New York,12
2,Survivor: The Australian Outback,Michael,Skupin,38,1962-01-29,M,White,Straight,Software Publisher,White Lake,Michigan,11
2,Survivor: The Australian Outback,Jeff,Varner,34,1966-04-16,M,White,LGBT,Internet Projects Manager,New York,New York,10
2,Survivor: The Australian Outback,Alicia,Calaway,32,1968-05-01,F,African American,Straight,Personal Trainer,New York,New York,9
2,Survivor: The Australian Outback,Jerri,Manthey,30,1970-09-05,F,White,Straight,Aspiring Actress,Los Angeles,California,8
2,Survivor: The Australian Outback,Nick,Brown,23,1977-04-02,M,African American,Straight,Law Student,Steilacoom,Washington,7
2,Survivor: The Australian Outback,Amber,Mariano,22,1978-08-11,F,White,Straight,Administrative Assistant,Beaver,Pennsylvania,6
2,Survivor: The Australian Outback,Rodger,Bingham,53,1947-07-05,M,White,Straight,Teacher/Farmer,Crittenden,Kentucky,5
2,Survivor: The Australian Outback,Elisabeth,Filarski,23,1977-05-28,F,White,Straight,Footwear Designer,Newton,Massachusetts,4
2,Survivor: The Australian Outback,Keith,Famie,40,1960-02-11,M,White,Straight,Chef,West Bloomfield,Michigan,3
2,Survivor: The Australian Outback,Colby,Donaldson,26,1974-04-01,M,White,Straight,Auto Customizer,Dallas,Texas,2
2,Survivor: The Australian Outback,Tina,Wesson,39,1960-12-26,F,White,Straight,Personal Nurse,Knoxville,Tennessee,1
3,Survivor: Africa,Diane,Ogden,42,1959-04-27,F,White,Straight,Mail Carrier,Lincoln,Nebraska,16
3,Survivor: Africa,Jessie,Camacho,27,1974-09-24,F,Latin American,Straight,Sheriff,Orlando,Florida,15
3,Survivor: Africa,Carl,Bilancione,46,1955-06-20,M,White,Straight,Dentist,Winter Springs,Florida,14
3,Survivor: Africa,Linda,Spencer,44,1957-01-01,F,African American,Straight,Career Counselor,Boston,Massachusetts,13
3,Survivor: Africa,Silas,Gaither,23,1978-01-28,M,White,Straight,Bartender,Los Angeles,California,12
3,Survivor: Africa,Lindsey,Richter,27,1974-08-31,F,White,Straight,Advertising Executive,Portland,Oregon,11
3,Survivor: Africa,Clarence,Black,24,1976-12-21,M,African American,Straight,Basketball Coach,Detroit,Michigan,10
3,Survivor: Africa,Kelly,Goldsmith,22,1979-04-27,F,White,Straight,Behavior Analyst,San Diego,California,9
3,Survivor: Africa,Brandon,Quinton,25,1976-01-22,M,White,LGBT,Bartender,Dallas,Texas,8
3,Survivor: Africa,Frank,Garrison,43,1958-07-22,M,White,Straight,Telephone Technician,Odessa,New York,7
3,Survivor: Africa,Kim,Powers,29,1971-12-03,F,White,Straight,Freelance Marketer,Conshohocken,Pennsylvania,6
3,Survivor: Africa,Teresa,Cooper,42,1959-05-05,F,White,Straight,Flight Attendant,Jackson,Georgia,5
3,Survivor: Africa,Tom,Buchanan,46,1955-10-30,M,White,Straight,Goat Farmer,Rich Valley,Virginia,4
3,Survivor: Africa,Lex,van,38,1963-06-18,M,White,Straight,Marketing Manager,Santa Cruz,California,3
3,Survivor: Africa,Kim,Johnson,57,1944-09-18,F,White,Straight,Retired Teacher,Oyster Bay,New York,2
3,Survivor: Africa,Ethan,Zohn,27,1973-11-12,M,White,Straight,Professional Soccer Player,New York,New York,1
4,Survivor: Marquesas,Peter,Harkey,45,1956-01-17,M,White,Straight,Bowling Alley Owner,Millis,Massachusetts,16
4,Survivor: Marquesas,Patricia,Jackson,49,1952-04-08,F,White,Straight,Truck Assembler,Lugoff,South Carolina,15
4,Survivor: Marquesas,Hunter,Ellis,33,1968-07-05,M,White,Straight,Ex-Navy Fighter Pilot,La Jolla,California,14
4,Survivor: Marquesas,Sarah,Jones,24,1977-08-11,F,White,Straight,Account Manager,Newport Beach,California,13
4,Survivor: Marquesas,Gabriel,Cade,23,1978-07-01,M,White,Straight,Bartender,Hollywood,California,12
4,Survivor: Marquesas,Gina,Crews,28,1973-02-07,F,White,Straight,Nature Guide,Gainesville,Florida,11
4,Survivor: Marquesas,Rob,Mariano,26,1975-12-25,M,White,Straight,Construction Worker,Canton,Massachusetts,10
4,Survivor: Marquesas,John,Carroll,36,1965-06-14,M,White,LGBT,Nurse,Omaha,Nebraska,9
4,Survivor: Marquesas,Zoe,Zanidakis,35,1966-03-17,F,White,Straight,Fishing Boat Captain,Monhegan Island,Maine,8
4,Survivor: Marquesas,Tammy,Leitner,29,1972-07-03,F,White,Straight,Crime Reporter,Mesa,Arizona,7
4,Survivor: Marquesas,Robert,DeCanio,38,1963-06-19,M,White,Straight,Limousine Driver,College Point,New York,6
4,Survivor: Marquesas,Sean,Rector,30,1971-08-20,M,African American,Straight,Teacher,Los Angeles,California,5
4,Survivor: Marquesas,Paschal,English,57,1945-03-05,M,White,Straight,Judge,Thomaston,Georgia,4
4,Survivor: Marquesas,Kathy,Vavrick-O'Brien,47,1955-01-06,F,White,Straight,Real Estate Agent,Burlington,Vermont,3
4,Survivor: Marquesas,Neleh,Dennis,21,1980-02-19,F,White,Straight,Student,Layton,Utah,2
4,Survivor: Marquesas,Vecepia,Towery,36,1965-12-09,F,African American,Straight,Office Manager,Hayward,California,1
5,Survivor: Thailand,John,Raymond,40,1962-02-21,M,White,Straight,Pastor,Slidell,Louisiana,16
5,Survivor: Thailand,Tanya,Vance,27,1974-11-29,F,White,Straight,Social Worker,Kingsport,Tennessee,15
5,Survivor: Thailand,Jed,Hildebrand,25,1976-12-05,M,White,Straight,Dental Student,Dallas,Texas,14
5,Survivor: Thailand,Ghandia,Johnson,33,1969-01-03,F,African American,Straight,Legal Secretary,Denver,Colorado,13
5,Survivor: Thailand,Stephanie,Dill,29,1972-11-15,F,White,Straight,Firefighter,Fayetteville,Arkansas,12
5,Survivor: Thailand,Robb,Zbacnik,23,1978-09-12,M,White,Straight,Bartender,Scottsdale,Arizona,11
5,Survivor: Thailand,Shii,Ann,28,1974-01-24,F,Asian American,Straight,Executive Recruiter,New York,New York,10
5,Survivor: Thailand,Erin,Collins,26,1976-01-07,F,White,Straight,Real Estate Agent,Austin,Texas,9
5,Survivor: Thailand,Ken,Stafford,30,1972-06-20,M,White,Straight,Police Officer,Brooklyn,New York,8
5,Survivor: Thailand,Penny,Ramsey,27,1975-04-24,F,White,Straight,Pharmaceutical Saleswoman,Plano,Texas,7
5,Survivor: Thailand,Jake,Billingsley,61,1941-08-21,M,White,Straight,Land Broker,McKinney,Texas,6
5,Survivor: Thailand,Ted,Rogers,37,1964-12-28,M,African American,Straight,Software Developer,Durham,North Carolina,5
5,Survivor: Thailand,Helen,Glover,47,1955-04-28,F,White,Straight,Navy Swim Instructor,Middletown,Rhode Island,4
5,Survivor: Thailand,Jan,Gentry,53,1948-10-31,F,White,Straight,Teacher,Tampa,Florida,3
